42,42 Coin
300,300 token
365,365Coin
404,404Coin
433,433 Token
611,SixEleven
808,808
888,Octocoin
1337,EliteCoin
1717,1717 Masonic Commemorative Token
2015,2015 coin
BTCD,BitcoinDark
CRAIG,CraigsCoin
XBS,Bitstake
XPY,PayCoin
PRC,ProsperCoin
YBC,YbCoin
DANK,DarkKush
GIVE,GiveCoin
KOBO,KoboCoin
DT,DarkToken
CETI,CETUS Coin
SUP,Supcoin
XPD,PetroDollar
GEO,GeoCoin
CHASH,CleverHash
NXTI,NXTI
WOLF,Insanity Coin
XDP,DogeParty
AC,Asia Coin
ACOIN,ACoin
AERO,Aero Coin
ALF,AlphaCoin
AEGIS,Aegis
AMERICANCOIN,AmericanCoin
ALIEN,AlienCoin
ARCH,ArchCoin
ARG,Argentum
AURORAC,Auroracoin
AXR,AXRON
BETACOIN,BetaCoin
BEAN,BeanCash
BLU,BlueCoin
BOST,BoostCoin
BQC,BQCoin
MOONC,MoonCoin
ZET,ZetaCoin
SXC,SexCoin
QTL,Quatloo
ENRG,EnergyCoin
QRK,QuarkCoin
RIC,Riecoin
DGC,Digitalcoin
LIMX,LimeCoinX
BTB,BitBar
CAIX,CAIx
BTMK,BitMark
BUK,CryptoBuk
CACH,Cachecoin
CANN,CannabisCoin
CAP,BottleCaps
CASH,CashCoin
CATC,Catcoin
CCN,CannaCoin
CINNI,CINNICOIN
CXC,CheckCoin
CLAM,CLAMS
CLR,CopperLark
CMC,CosmosCoin
CNC,ChinaCoin
CNL,ConcealCoin
COMM,Community Coin
COOL,CoolCoin
CRACK,CrackCoin
CRYPT,CryptCoin
CSC,CasinoCoin
DEM,eMark
DIAM,Diamond
DRKC,DarkCash
DSB,DarkShibe
DEVCOIN,DevCoin
EFL,E-Gulden
ELC,Elacoin
EMD,Emerald
EXCL,Exclusive Coin
EXE,ExeCoin
EZC,EZCoin
FLAP,Flappy Coin
FC2,Fuel2Coin
FFC,FireflyCoin
FIBRE,FIBRE
FRC,FireRoosterCoin
FLT,FlutterCoin
FRK,Franko
FRAC,FractalCoin
FSTC,FastCoin
GLOBAL,GlobalCoin
GLX,GalaxyCoin
GLYPH,GlyphCoin
GML,GameLeagueCoin
GUE,GuerillaCoin
HAL,Halcyon
HBN,HoboNickels
HUC,HunterCoin
HVC,HeavyCoin
HYP,HyperStake
ICB,IceBergCoin
IFC,Infinite Coin
IXC,IXcoin
JBS,JumBucks Coin
JKC,JunkCoin
JUDGE,JudgeCoin
KDC,Klondike Coin
KEYC,KeyCoin
LK7,Lucky7Coin
LKY,LuckyCoin
LSD,LightSpeedCoin
LTB,Litebar
LTCD,LitecoinDark
LTCX,LitecoinX
LXC,LibrexCoin
LYC,LycanCoin
MAX,MaxCoin
MEC,MegaCoin
MEDIT,MediterraneanCoin
MINRL,Minerals Coin
MINTCOIN,MintCoin
MN,Cryptsy Mining Contract
MINC,MinCoin
MRY,MurrayCoin
MZC,MazaCoin
NAN,NanoToken
NAUT,Nautilus Coin
NYBBLE,Nybble
NET,NetCoin
NMB,Nimbus Coin
NRB,NoirBits
NOBL,NobleCoin
NRS,NoirShares
ORBITCOIN,Orbitcoin
OPSC,OpenSourceCoin
PHS,PhilosophersStone
POINTS,Cryptsy Points
PSEUD,PseudoCash
PXC,PhoenixCoin
PYC,PayCoin
RIPO,RipOffCoin
RPC,RonPaulCoin
RT2,RotoCoin
RYC,RoyalCoin
RZR,RazorCoin
SBC,StableCoin
SDC,ShadowCash
SFR,SaffronCoin
SHADE,ShadeCoin
SHLD,ShieldCoin
SILK,SilkCoin
SMC,SmartCoin
SOLE,SoleCoin
SPAIN,SpainCoin
SPOTS,Spots
SRC,SecureCoin
SSVCOIN,SSVCoin
SUPERC,SuperCoin
SWIFT,BitSwift
